transition_date,transition_hour,line,transfer_type,number_of_passage,number_of_passenger,product_kind,transaction_type_desc,town,line_name,station_poi_desc_cd
2024-09-16,0,KABATAS-BAGCILAR,Normal,1,1,INDIRIMLI1,Indirimli Kontur,BEYOGLU,T1,KARAKOY
2024-09-16,0,TOPKAPI-HABIBLER,Normal,1,1,TAM,Tam Kontur,GAZIOSMANPASA,T4,BEREC
2024-09-16,0,TOPKAPI-HABIBLER,Normal,2,2,INDIRIMLI1,Indirimli Abonman,EYUPSULTAN,T4,SEHITLIK
2024-09-16,0,YENIKAPI - HACIOSMAN,Normal,2,2,INDIRIMLI1,Indirimli Kontur,BEYOGLU,M2,TAKSIM GUNEY
2024-09-16,0,YENIKAPI - HAVALIMANI,Normal,1,1,UCRETSIZ,Ucretsiz,BAYRAMPASA,M1,OTOGAR 1
2024-09-16,0,KADIKOY-KARTAL,Normal,2,2,TAM,Tam Kontur,PENDIK,M4,FEVZI CAKMAK
2024-09-16,0,YENIKAPI - HACIOSMAN,Aktarma,1,1,TAM,Tam Aktarma,FATIH,M2,YENIKAPI KUZEY
2024-09-16,0,TOPKAPI-HABIBLER,Normal,1,1,TAM,Tam Abonman,EYUPSULTAN,T4,SEHITLIK
2024-09-16,0,KADIKOY-KARTAL,Normal,1,1,TAM,Tam Kontur,USKUDAR,M4,GOZTEPE
2024-09-16,0,KIRAZLI-BASAKSEHIR/METROKENT,Aktarma,1,1,TAM,Tam Aktarma,BAGCILAR,M3,MAHMUTBEY M7 HOL 1
2024-09-16,0,YENIKAPI - HAVALIMANI,Normal,1,1,UCRETSIZ,Ucretsiz,ESENLER,M1,TERAZIDERE
2024-09-16,0,YENIKAPI - HACIOSMAN,Normal,2,1,TAM,Tam Kontur,FATIH,M2,VEZNECILER KUZEY
2024-09-16,0,YENIKAPI - HACIOSMAN,Normal,1,1,INDIRIMLI1,Indirimli Kontur,BEYOGLU,M2,SISHANE KUZEY
2024-09-16,0,USKUDAR-CEKMEKOY,Normal,1,1,INDIRIMLI1,Indirimli Abonman,USKUDAR,M5,USKUDAR 1
2024-09-16,0,YENIKAPI - HACIOSMAN,Normal,1,1,INDIRIMLI1,Indirimli Kontur,KAGITHANE,M2,4 LEVENT KUZEY
2024-09-16,0,TOPKAPI-HABIBLER,Normal,1,1,INDIRIMLI1,Indirimli Kontur,ESENLER,T4,BASTABYA
2024-09-16,0,KIRAZLI-BASAKSEHIR/METROKENT,Normal,1,1,INDIRIMLI1,Tam Kontur,BAGCILAR,M3,KAYASEHIR MERKEZ
2024-09-16,0,YENIKAPI - HACIOSMAN,Normal,1,1,TAM,Tam Kontur,SISLI,M2,SISLI 2 KUZEY
2024-09-16,0,KABATAS-BAGCILAR,Aktarma,1,1,INDIRIMLI1,Indirimli Aktarma,ZEYTINBURNU,T1,ATATURK OGRENCI YURDU
2024-09-16,0,USKUDAR-CEKMEKOY,Normal,1,1,TAM,Tam Kontur,USKUDAR,M5,UMRANIYE
2024-09-16,0,YENIKAPI - HAVALIMANI,Aktarma,1,1,TAM,Tam Aktarma,BAYRAMPASA,M1,SAGMALCILAR
2024-09-16,0,KIRAZLI-BASAKSEHIR/METROKENT,Normal,2,2,INDIRIMLI1,Indirimli Abonman,GUNGOREN,M3,MAHMUTBEY M7 HOL 3
2024-09-16,0,KABATAS-BAGCILAR,Normal,1,1,TAM,Tam Kontur,FATIH,T1,SIRKECI
2024-09-16,0,KIRAZLI-BASAKSEHIR/METROKENT,Normal,1,1,INDIRIMLI1,Indirimli Abonman,BAGCILAR,M3,KIRAZLI
2024-09-16,0,KABATAS-BAGCILAR,Normal,1,1,TAM,Tam Abonman,ZEYTINBURNU,T1,TOPKAPI
2024-09-16,0,YENIKAPI - HAVALIMANI,Aktarma,1,1,TAM,Tam Aktarma,FATIH,M1,YENIKAPI
2024-09-16,0,YENIKAPI - HACIOSMAN,Normal,1,1,INDIRIMLI1,Indirimli Abonman,SISLI,M2,GAYRETTEPE
2024-09-16,0,KADIKOY-KARTAL,Normal,1,1,TAM,Tam Kontur,USKUDAR,M4,UNALAN
2024-09-16,0,TOPKAPI-HABIBLER,Normal,1,1,INDIRIMLI1,Indirimli Abonman,EYUPSULTAN,T4,RAMI
2024-09-16,0,KABATAS-BAGCILAR,Normal,2,2,INDIRIMLI1,Indirimli Abonman,FATIH,T1,AKSARAY
