transition_date,transition_hour,number_of_passenger,station_poi_desc_cd
2024-09-01,0,1,DARUSSAFAKA
2024-09-01,0,5,SISHANE GUNEY
2024-09-01,0,1,SISHANE KUZEY
2024-09-01,0,5,HALIC GUNEY
2024-09-01,0,12,SISHANE KUZEY
2024-09-01,0,1,HALIC GUNEY
2024-09-01,0,1,YENIKAPI GUNEY
2024-09-01,0,1,HALIC GUNEY
2024-09-01,0,1,SEYRANTEPE 2 DOGU
2024-09-01,0,3,TAKSIM GUNEY
2024-09-01,0,42,SISLI 2 KUZEY
2024-09-01,0,2,4 LEVENT KUZEY
2024-09-01,0,1,4 LEVENT 2 GUNEY
2024-09-01,0,8,YENIKAPI GUNEY
2024-09-01,0,1,VEZNECILER GUNEY
2024-09-01,0,3,TAKSIM GUNEY
2024-09-01,0,1,HACIOSMAN
2024-09-01,0,2,TAKSIM GUNEY
2024-09-01,0,1,GAYRETTEPE
2024-09-01,0,9,YENIKAPI KUZEY
2024-09-01,0,1,SISLI 2 KUZEY
2024-09-01,0,1,ATATURK OTO SANAYI KUZEY
2024-09-01,0,64,SISLI 2 KUZEY
2024-09-01,0,56,YENIKAPI KUZEY
2024-09-01,0,1,HALIC GUNEY
2024-09-01,0,2,SISHANE KUZEY
2024-09-01,0,3,SISLI GUNEY
2024-09-01,0,2,HACIOSMAN
2024-09-01,0,4,HALIC KUZEY
2024-09-01,0,1,SANAYI MAH. KUZEY
2024-09-01,0,1,SISHANE GUNEY
2024-09-01,0,3,YENIKAPI KUZEY
2024-09-01,0,2,LEVENT 2 KUZEY
2024-09-01,0,2,TAKSIM GUNEY
2024-09-01,0,1,TAKSIM GUNEY
2024-09-01,0,15,SISHANE KUZEY
2024-09-01,0,1,OSMANBEY 2 GUNEY
2024-09-01,0,5,GAYRETTEPE
2024-09-01,0,19,YENIKAPI GUNEY
2024-09-01,0,11,SISLI 2 KUZEY
2024-09-01,0,3,OSMANBEY 2 GUNEY
2024-09-01,0,2,TAKSIM GUNEY
2024-09-01,0,8,LEVENT GUNEY
2024-09-01,0,1,VEZNECILER KUZEY
2024-09-01,0,1,SISHANE GUNEY
2024-09-01,0,4,LEVENT 2 KUZEY
2024-09-01,0,7,OSMANBEY KUZEY
2024-09-01,0,5,GAYRETTEPE
2024-09-01,0,1,SANAYI MAH. GUNEY
2024-09-01,0,2,YENIKAPI KUZEY
2024-09-01,0,4,SISHANE KUZEY
2024-09-01,0,4,HALIC GUNEY
2024-09-01,0,35,SISHANE GUNEY
2024-09-01,0,1,TAKSIM GUNEY
2024-09-01,0,6,SISHANE GUNEY
2024-09-01,0,1,OSMANBEY KUZEY
2024-09-01,0,57,OSMANBEY 2 GUNEY
2024-09-01,0,1,SANAYI MAH. KUZEY
2024-09-01,0,15,SISLI 2 KUZEY
2024-09-01,0,1,SEYRANTEPE 1 BATI
2024-09-01,0,12,VEZNECILER KUZEY
2024-09-01,0,5,HALIC GUNEY
2024-09-01,0,1,LEVENT GUNEY
2024-09-01,0,1,OSMANBEY 2 GUNEY
2024-09-01,0,1,HACIOSMAN
2024-09-01,0,3,HALIC KUZEY
